406,"Winter2012",4,8,"Monday","First","Homework","Staff",0,0,0,20120109,20120319,1,"http://sfschool.org/drupal/node/16","8th Grade Room",0,0,0,
407,"Winter 2012",1,8,"Monday","First","Indoor/Outdoor Choice","Staff",0,0,0,20120109,20120319,1,"http://sfschool.org/drupal/node/20","Green Top/Library",0,0,0,
408,"Winter 2012",1,5,"Monday","First","Creative Kitchen","Peter",1,10,10,20120109,20120319,1,"http://sfschool.org/drupal/node/13","Kitchen",0,0,0,
409,"Winter 2012",6,8,"Monday","First","Junior Counselor/Creative Kitchen","Peter",0,0,1,20120109,20120319,1,"http://sfschool.org/drupal/node/65","Kitchen ",0,0,1,
410,"Winter 2012",3,8,"Monday","First","Flute","Sue",4,32,2,20120109,20120119,1,"http://sfschool.org/drupal/node/24","5th Grade Classroom",0,0,0,
411,"Winter 2012",3,8,"Monday","Second","Flute","Sue",4,32,2,20120109,20120119,1,"http://sfschool.org/drupal/node/24","5th Grade Classroom",0,0,0,
412,"Winter 2012",6,8,"Monday","First","MS Basketball","Staff",0,0,0,20120109,20120119,1,"http://sfschool.org/drupal/node/55","Green Top ",0,0,1,
413,"Winter 2012",6,8,"Monday","First","Math Olympiad","Kai",0,0,0,20120109,20120119,1,"http://sfschool.org/drupal/node/85","Math Room",0,0,1,
414,"Winter 2012",6,8,"Monday","First","Junior Counselor Preschool","Staff",0,0,1,20120109,20120119,1,"http://sfschool.org/drupal/node/65","Preschool",0,0,1,
415,"Winter 2012",6,8,"Monday","First","SMART","Staff",0,0,0,20120109,20120119,1,"http://sfschool.org/drupal/node/72","Green Top",0,0,1,
416,"Winter 2012",4,8,"Tuesday","First","Homework","Staff",0,0,0,20120103,20120320,1,"http://sfschool.org/drupal/node/16","8th Grade Room",0,0,0,
417,"Winter 2012",1,8,"Tuesday","First","Indoor/Outdoor Choice","Staff",0,0,0,20120103,20120320,1,"http://sfschool.org/drupal/node/20","Green Top/Library",0,0,0,
418,"Winter 2012",1,8,"Tuesday","First","Academic Chess","Academic Chess Staff",2.5,25,0,20120103,20120320,1,"http://sfschool.org/drupal/node/28","4th Grade Room",0,0,0,
419,"Winter 2012",1,4,"Tuesday","First","Drumming","Michaelle",3,30,5,20120103,20120320,1,"http://sfschool.org/drupal/node/23","Music Room",0,0,0,
420,"Winter 2012",1,4,"Tuesday","Second","Drumming","Michaelle",3,30,5,20120103,20120320,1,"http://sfschool.org/drupal/node/23","Music Room",0,0,0,
421,"Winter 2012",6,8,"Tuesday","First","Clarinet","Morgan",4,40,2,20120103,20120320,1,"http://sfschool.org/drupal/node/82","4th Grade Room",0,0,0,
422,"Winter 2012",6,8,"Tuesday","Second","Clarinet","Morgan",4,40,2,20120103,20120320,1,"http://sfschool.org/drupal/node/82","4th Grade Room",0,0,0,
423,"Winter 2012",6,8,"Tuesday","First","Guitar/MS","Bryan",4,40,2,20120103,20120320,1,"http://sfschool.org/drupal/node/62","6th Grade Room",0,0,0,
424,"Winter 2012",6,8,"Tuesday","Second","Guitar/MS","Bryan",4,40,2,20120103,20120320,1,"http://sfschool.org/drupal/node/62","6th Grade Room",0,0,0,
425,"Winter 2012",1,5,"Tuesday","First","Sewing: Make and Play",,0,0,10,20120103,20120320,1,"http://sfschool.org/drupal/node/84","Upper Spanish",0,0,0,
426,"Winter 2012",6,8,"Tuesday","First","MS Basketball","Staff",0,0,0,20120103,20120320,1,"http://sfschool.org/drupal/node/55","Green Top",0,0,1,
427,"Winter 2012",6,8,"Tuesday","First","Junior Counselor/Sewing","Vivian",0,0,1,20120103,20120320,1,"http://sfschool.org/drupal/node/65","Upper Spanish",0,0,1,
428,"Winter 2012",6,8,"Tuesday","First","Junior Counselor/Preschool","Staff",0,0,1,20120103,20120320,1,"http://sfschool.org/drupal/node/65","Preschool",0,0,1,
429,"Winter 2012",6,8,"Tuesday","First","SMART","Staff",0,0,0,20120103,20120320,1,"http://sfschool.org/drupal/node/72","Green Top",0,0,1," "
430,"Winter 2012",4,8,"Wednesday","First","Homework","Staff",0,0,0,20120104,20120321,1,"http://sfschool.org/drupal/node/16","8th Grade Room",0,0,0,
431,"Winter 2012",1,8,"Wednesday","First","Indoor/Outdoor Choice","Staff",0,0,0,20120104,20120321,1,"http://sfschool.org/drupal/node/20","Green Top/Library",0,0,0,
432,"Winter 2012",1,4,"Wednesday","First","Ceramics","Ruth",0,0,10,20120104,20120321,1,"http://sfschool.org/drupal/node/77","Art Room",0,0,0,
433,"Winter 2012",6,8,"Wednesday","First","Junior Counselor","Ruth",0,0,1,20120104,20120321,1,"http://sfschool.org/drupal/node/65","Art Room",0,0,1,
434,"Winter 2012",4,8,"Wednesday","First","Drumming - Beginning","Michaelle",3,36,5,20120104,20120321,1,"http://sfschool.org/drupal/node/23","Music Room",0,0,0,
435,"Winter 2012",4,8,"Wednesday","Second","Drumming","Michaelle",3,36,5,20120104,20120321,1,"http://sfschool.org/drupal/node/23","Music Room",0,0,0,
436,"Winter 2012",3,5,"Wednesday","First","Clarinet","Morgan",4,48,3,20120104,20120321,1,"http://sfschool.org/drupal/node/22","4th Grade Room",0,0,0,
437,"Winter 2012",3,5,"Wednesday","Second","Clarinet","Morgan",4,48,3,20120104,20120321,1,"http://sfschool.org/drupal/node/22","4th Grade Room",0,0,0,
438,"Winter",6,8,"Wednesday","First","MS Basketball","Staff",0,0,0,20120104,20120321,1,"http://sfschool.org/drupal/node/455","Green Top",0,0,1,
439,"Winter",4,5,"Wednesday","First","Elementary Basketball","Staff",0,0,0,20120104,20120321,1,"http://sfschool.org/drupal/node/57","Green Top",0,0,0,
440,"Winter",6,8,"Wednesday","First","Junior Counselor Preschool","Staff",0,0,1,20120104,20120321,1,"http://sfschool.org/drupal/node/65","Preschool",0,0,1,
441,"Winter",6,8,"Wednesday","First","SMART","Staff",0,0,0,20120104,20120321,1,"http://sfschool.org/drupal/node/72","Green Top",0,0,1,
442,"Winter 2012",4,8,"Thursday",,"Band","James",0,0,0,20120105,20120322,1,"http://sfschool.org/drupal/node/53","Music Room",0,0,1,
443,"Winter 2012",4,8,"Thursday","First","Homework","Staff",0,0,0,20120105,20120322,1,"http://sfschool.org/drupal/node/16","8th Grade Room",0,0,0,
444,"Winter 2012",1,8,"Thursday","First","Indoor/Outdoor Choice","Staff",0,0,0,20120105,20120322,1,"http://sfschool.org/drupal/node/20","Green Top/Library",0,0,0,
445,"Winter 2012",4,8,"Thursday","First","Trumpet","John",4,48,2,20120105,20120322,1,"http://sfschool.org/drupal/node/26","Music Room",0,0,0,
446,"Winter 2012",4,8,"Thursday","Second","Trumpet","John",4,48,2,20120105,20120322,1,"http://sfschool.org/drupal/node/26","Music Room",0,0,0,
447,"Winter 2012",4,8,"Thursday","First","Saxophone","Joshi",4,48,2,20120105,20120322,1,"http://sfschool.org/drupal/node/52","5th Grade Classroom",0,0,0,
448," Winter 2012",4,8,"Thursday","Second","Saxophone","Joshi",4,48,2,20120105,20120322,1,"http://sfschool.org/drupal/node/52","5th Grade Classroom",0,0,0,
449,"Winter 2012",1,5,"Thursday","First","Creative Kitchen, Too","Andy",1,12,10,20120105,20120322,1,"http://sfschool.org/drupal/node/59","Kitchen",0,0,0,
450,"Winter 2012",6,8,"Thursday","First","Junior Counselor Creative Kitchen","Andy",0,0,1,20120105,20120322,1,"http://sfschool.org/drupal/node/65","Kitchen",0,0,1,
451,"Winter 2012",6,8,"Thursday","First","Junior Counselor Preschool","Staff",0,0,1,20120105,20120322,1,"http://sfschool.org/drupal/node/65","Preschool",0,0,1,
452,"Winter 2012",6,8,"Thursday","First","MS Basketball","Staff",0,0,0,20120105,20120322,1,"http://sfschool.org/drupal/node/55","Green Top",0,0,1,
453,"Winter 2012",4,5,"Thursday","First","Elementary Basketball","Staff",0,0,0,20120105,20120322,1,"http://sfschool.org/drupal/node/57","Green Top",0,0,0,
454,"Winter 2012",6,8,"Thursday","First","SMART","Staff",0,0,1,20120105,20120322,1,"http://sfschool.org/drupal/node/72","Green Top",0,0,1,
455,"Winter 2012",1,8,"Friday","First","Indoor/Outdoor Choice","Staff",0,0,0,20120106,20120323,1,"http://sfschool.org/drupal/node/20","Green Top/Library",0,0,0,
456,"Winter 2012",6,8,"Friday","First","Amnesty International","Solveig",0,0,0,20120106,20120323,1,"http://sfschool.org/drupal/node/8","6th Grade Room",0,0,1,
457,"Winter 2012",4,8,"Friday","First","Quick Crafts","Ruth",0,0,10,20120106,20120323,1,"http://sfschool.org/drupal/node/83","Art Room",0,0,0,
458,"Winter 2012",2,5,"Friday","First","Guitar/Elementary","Peter",2,24,2,20120106,20120323,1,"http://sfschool.org/drupal/node/25","Music Room",0,0,0,
459,"Winter 2012",2,5,"Friday","Second","Guitar/Elementary","Peter",2,24,2,20120106,20120323,1,"http://sfschool.org/drupal/node/25","Music Room",0,0,0,
460,"Winter 2012",6,8,"Friday","First","MS Basketball","Staff",0,0,0,20120106,20120323,1,"http://sfschool.org/drupal/node/55","Green Top",0,0,1,
461,"Winter 2012",4,5,"Friday","First","Elementary Basketball","Staff",0,0,0,20120106,20120323,1,"http://sfschool.org/drupal/node/57","Green Top",0,0,0,
462,"Winter 2012",6,8,"Friday","First","Junior Counselor Preschool","Staff",0,0,1,20120106,20120323,1,"http://sfschool.org/drupal/node/65","Preschool",0,0,1,
463,"Winter 2012",6,8,"Friday","First","SMART","Staff",0,0,0,20120106,20120323,1,"http://sfschool.org/drupal/72","Green Top",0,0,1,
